4.5,28.06129,5.672258,-37.757097,-37.757097
5.4,28.563333,6.091667,-37.757097,-37.937732
10.9,29.425806,6.025484,-37.937732,-37.865143
70,28.813333,5.093667,-37.865143,-37.247667
218.2,27.435484,3.980323,-37.247667,-36.537192
451.1,26.912903,3.756129,-36.537192,-37.590879
292.2,26.648276,3.47931,-37.590879,-38.475801
250,26.980645,3.839032,-38.475801,-38.276261
112.9,27.393333,3.868333,-38.276261,-36.781179
121.8,27.932258,3.882581,-36.781179,-36.07223
29,28.313333,4.328667,-36.07223,-37.937732
38.6,28.506452,5.020323,-37.937732,-37.107339
36.4,28.674194,5.384194,-37.107339,-37.652705
74.8,28.65,5.403,-37.652705,-36.781179
148.4,28.122581,4.793548,-36.781179,-37.120457
157.6,27.706667,4.343333,-37.120457,-37.889932
331.7,26.335484,3.370323,-37.889932,-38.590073
292.4,25.932258,2.926774,-38.590073,-38.590073
364,25.814286,3.069643,-38.590073,-38.288085
157,26.506452,3.739677,-38.288085,-36.153767
84.2,27.163333,4.235333,-36.153767,-35.983059
153.2,28.054839,4.276452,-35.983059,-37.107339
111.9,27.24,3.730667,-37.107339,-34.86
9.9,28.477419,4.967419,-34.86,-37.865143
64.2,28.729032,5.222581,-37.865143,-35.983059
59.2,28.613333,5.145667,-35.983059,-34.363049
121.2,28.380645,5.083871,-34.363049,-37.073158
246.4,26.623333,3.611667,-37.073158,-41.623697
302.2,26.509677,3.676452,-41.623697,-41.597308
241.8,26.212903,3.784839,-41.597308,-36.537192
236.4,26.353571,3.621071,-36.537192,-36.781179
248.5,26.583871,3.893548,-36.781179,-36.781179
118.1,27.063333,4.060667,-36.781179,-35.599487
173.1,27.164516,3.68,-35.599487,-35.458618
182.7,26.633333,3.654,-35.458618,-35.412577
74.2,27.496774,4.47129,-35.412577,-36.277561
45.7,28.145161,5.044194,-36.277561,-37.295485
76.1,28.346667,5.159333,-37.295485,-35.922368
202.5,26.580645,3.962581,-35.922368,-36.084286
353.6,26.473333,3.735333,-36.084286,-36.332513
215.8,26.435484,3.822581,-36.332513,-36.627727
214,26.13871,3.847419,-36.627727,-36.266118
302.2,25.985714,3.338929,-36.266118,-36.59719
295.7,26.441935,4.052581,-36.59719,-36.819419
178,26.953333,4.17,-36.819419,-36.739012
66.1,27.870968,4.44129,-36.739012,-36.675
47.5,28.39,4.559333,-36.675,-36.943891
18.5,28.341935,4.866774,-36.943891,-36.993953
1.8,28.532258,5.716129,-36.993953,-37.282739
14,28.99,6.247,-37.282739,-37.645686
25.3,29.858065,6.089032,-37.645686,-37.678667
110.9,28.503333,4.933,-37.678667,-38.13
111.1,28.112903,4.688387,-38.13,-38.294348
274.1,27.025806,3.834516,-38.294348,-38.253679
247.6,27.22069,4.063793,-38.253679,-38.338133
217.4,27.451613,4.17129,-38.338133,-38.137664
194.5,28.06,4.234,-38.137664,-37.890455
29.3,29.935484,5.000968,-37.890455,-38.185913
69.8,28.613333,4.452667,-38.185913,-38.378058
36.5,28.26129,4.939355,-38.378058,-38.461102
14,28.667742,5.429032,-38.461102,-38.452069
